Offspring,OM,IVD,CP,LDM,RC,PLB
106,91.333589,61.233028,12.765977,210.114695,1.190881,73.768896
107,90.422337,60.328456,12.467347,205.751333,2.222994,73.399467
108,92.109316,58.659888,12.250495,206.605001,2.002276,76.315274
109,90.781022,59.964826,12.487703,212.052608,1.233517,69.457317
110,90.026357,60.342751,13.572659,222.788217,1.619923,77.801333
111,90.637079,60.583882,12.776084,201.584267,1.274932,65.415889
112,90.369421,60.493941,12.532904,207.577187,1.884795,71.751552
113,90.954849,60.188252,12.60886,209.697175,2.007153,70.079816
114,91.549306,60.270197,12.263445,208.248075,1.723466,76.461744
115,90.728211,59.797526,13.400101,203.916221,1.634577,70.300068
116,90.633333,60.764023,13.348945,204.009529,2.369924,74.797911
117,91.776558,61.527681,13.630463,209.45169,1.40685,76.555081
118,90.736398,61.330573,12.515335,207.100057,2.643436,78.883685
119,90.278832,60.804444,13.404993,199.683099,1.708005,70.434723
120,91.143237,61.672264,12.704494,213.097821,1.110163,72.765754
121,90.237954,59.699618,12.809482,197.097783,1.430513,65.226661
122,90.745467,59.927928,12.400542,213.999828,2.764804,79.114028
123,91.185836,59.51219,12.59567,219.590075,1.561193,73.354139
124,91.890873,61.771189,13.297656,217.323392,0.919696,73.111332
125,90.757205,60.422524,12.992613,207.317152,1.504817,74.426398
126,90.645947,60.410968,13.078382,212.529651,2.198605,72.299636
127,89.73273,60.246539,13.588717,210.835334,1.950381,70.357964
128,91.420203,60.556949,12.779432,201.289921,1.80926,74.878628
129,90.837766,59.60532,11.746626,202.664028,2.113395,74.803826
130,91.342166,60.276628,12.700477,201.658132,1.870508,71.353747
131,91.172147,60.283342,13.018659,210.178326,1.781484,75.873195
132,90.967799,60.554164,13.285578,213.395869,1.373788,70.683673
133,90.72013,60.826768,12.612799,207.292281,1.396386,75.426914
134,91.007361,60.736428,12.810305,211.340705,2.817046,76.387291
135,90.659513,60.270707,12.848454,211.157888,1.402024,69.368614
136,91.519428,59.649587,11.779719,210.690957,1.238978,73.589713
137,90.213956,59.976048,12.391117,201.782561,2.569421,78.226479
139,90.62396,60.721768,12.978534,214.932198,2.223056,76.984572
140,91.527702,59.74336,12.673949,223.783681,2.740177,74.492938
141,91.097956,59.268058,12.812793,210.802032,1.333121,72.331043
142,91.674931,59.821832,11.84276,204.510088,2.468086,78.974222
144,90.116143,60.298932,12.996712,214.704242,2.153943,81.425066
145,91.27657,61.368009,12.792507,229.358722,1.591024,76.340639
146,90.870558,58.983664,12.853958,210.81015,1.302781,75.020332
147,91.155955,60.838866,12.481028,207.008602,2.815146,77.067062
149,90.092669,61.621426,13.261548,217.525871,2.176051,73.182784
150,90.195449,61.24149,12.856152,213.423363,2.56995,75.618265
151,91.126753,60.561294,12.629119,207.138384,2.569491,78.546344
153,90.443646,61.362547,12.82811,199.618281,2.418016,76.273173
154,90.70785,58.094839,12.431133,213.672347,1.744311,75.671198
155,90.933774,59.40845,12.446844,212.536809,2.123489,72.487099
156,91.038244,61.24944,12.990789,219.050079,1.101756,73.036104
157,90.829785,59.938582,12.584073,211.806427,2.887776,74.484829
158,90.708423,59.163603,13.008867,209.37876,2.499645,74.960466
159,90.399999,59.628727,12.087993,204.950136,2.49262,74.738754
160,91.01788,60.416314,12.20772,197.140218,2.648162,77.953867
161,90.687295,59.77619,12.468238,211.797587,1.856597,75.70309
162,90.942787,60.6131,12.809586,217.416802,2.420774,75.482205
163,90.797159,60.723028,13.410051,209.316474,1.417824,74.294531
164,90.831947,59.900117,12.202874,214.709784,2.476468,79.885614
165,91.191931,59.831765,12.781851,199.747342,2.124856,76.948191
166,90.854677,60.263387,12.937593,216.346026,1.411863,69.687085
167,90.289075,59.802455,13.217954,201.082178,1.927681,74.640011
169,90.636818,61.34544,12.863417,209.336889,2.421262,76.090572
170,91.059987,59.986949,12.428552,209.166887,1.888647,76.702688
171,90.493255,61.162165,13.260682,203.299719,2.410317,78.216506
172,90.765553,60.53283,12.947384,211.034436,1.84245,80.312987
173,90.904078,61.436468,12.508902,219.543243,2.392857,79.44967
174,90.995119,60.00939,12.704712,205.04446,2.182723,72.189194
175,91.039147,59.910614,12.570741,214.620636,2.577655,71.370968
176,90.353691,60.045095,12.733645,210.924432,1.748319,79.581928
177,91.457412,59.267313,12.58834,212.050854,1.374351,73.17537
178,90.016048,60.589561,12.872129,210.423139,1.679006,76.623406
179,89.997166,59.555775,12.625921,221.514086,2.156325,73.520532
180,91.426263,60.513614,12.639734,210.881693,0.965357,74.467445
181,90.555847,60.073329,12.206851,245.882381,1.927913,68.476365
182,90.465703,60.4238,12.476019,208.197464,2.594368,76.172806
183,90.973292,58.89425,12.810522,216.075224,1.24308,68.469527
184,90.309978,59.971087,12.652065,218.98566,1.956299,72.784561
185,90.571047,60.633231,13.021511,211.191181,1.721996,74.048526
186,90.040696,60.256239,12.449431,206.546022,2.263103,73.889994
187,89.829877,59.02656,12.536861,220.677575,1.47724,71.429172
188,91.155665,60.421639,12.907108,218.71677,1.628787,67.974231
189,90.387962,61.219181,12.59216,213.553987,1.663145,73.343805
190,90.13617,60.400896,12.716369,225.117677,2.442584,77.834479
191,90.343552,60.769928,12.839892,215.899985,1.748307,76.866949
192,90.99311,60.005986,12.608747,222.11624,1.452506,73.560554
193,91.526018,58.267934,13.019091,218.1237,1.577743,73.260885
194,91.242716,60.920773,12.073953,196.904891,1.37833,74.695278
195,91.261386,60.633894,11.567053,211.076624,2.149086,76.287817
196,90.483838,61.043147,12.264785,194.468366,1.766955,72.735262
197,90.696548,59.273555,12.472124,213.616986,2.2472,75.711514
198,90.223673,61.427122,12.913758,227.091928,1.642943,71.668146
199,90.371349,59.52986,12.176239,213.143732,2.136518,68.370651
200,91.075366,59.439072,12.290808,209.909709,1.796952,75.38335
201,90.855761,59.292659,12.421377,226.833406,2.6597,76.65106
202,91.463394,60.831954,12.569864,223.262932,1.952339,74.434926
203,90.753693,59.342514,12.468135,221.51562,2.245728,75.448573
204,90.876515,59.423523,12.669491,202.83459,2.147324,77.566051
205,89.985714,60.835999,12.222303,213.363141,0.983304,75.659284
206,90.854509,60.434536,12.499533,212.334466,1.29545,77.441599
207,90.395823,58.775769,12.249939,215.19128,2.225747,74.020297
208,91.287335,59.643913,12.776749,215.616154,1.284824,69.791755
209,90.385345,59.955308,12.946599,219.49999,2.793427,77.614126
210,90.81659,60.773081,12.319287,207.646298,1.540214,75.621759
211,91.521837,60.482207,12.099933,229.446942,1.703833,71.362861
212,90.555283,58.999029,13.01108,229.536766,2.31322,70.669507
213,91.465938,58.117613,12.106088,209.97901,2.435264,74.196795
214,90.009707,62.22251,12.993971,208.389526,2.080673,70.873541
217,90.422004,60.404816,13.18526,210.914182,1.639734,74.032559
218,91.69627,59.886141,12.9439,214.870634,1.68859,73.488124
219,90.743657,59.952509,12.419506,222.009079,2.296098,80.237792
220,90.415449,60.270047,12.552764,212.727422,2.866027,78.024455
221,90.755152,61.050169,12.844451,212.577133,1.618509,71.408463
222,91.061491,59.236482,11.730693,211.113003,2.378225,80.895458
223,90.084656,60.103814,12.479611,205.371212,2.392723,74.849341
224,90.887186,59.586866,12.865367,209.388875,1.903011,72.160945
225,90.715065,61.551717,12.643436,215.490043,1.412225,78.40797
226,90.862499,61.392867,12.633266,199.092359,1.699732,72.82889
227,90.848301,61.126303,12.642444,220.099722,1.890459,70.805649
228,90.296522,60.697401,13.117566,207.637741,1.756536,76.575947
229,90.540481,60.417689,12.951704,220.178053,1.83111,76.13642
230,91.003898,60.176263,12.258667,206.105858,1.553363,80.62367
231,90.658027,59.795703,12.917517,211.645959,1.964681,74.059112
232,90.204684,61.244602,13.309497,206.374826,1.024638,75.049134
233,90.59164,59.247035,12.101542,216.073535,1.639049,75.305023
234,89.882559,61.501116,12.406068,214.008593,1.961493,80.272067
235,91.451588,59.852965,12.164857,203.362629,1.412059,74.05758
236,91.430491,58.938232,12.793192,215.411881,2.315987,70.586572
237,91.067438,61.831207,13.715639,210.901345,1.552011,77.53748
238,90.472243,60.328893,13.41554,204.26793,0.974375,66.548315
239,90.56202,59.83459,12.172847,218.416133,2.699013,76.658928
240,90.421803,59.713842,12.404477,207.784864,2.615941,77.375561
241,91.27443,57.774448,11.732242,210.221914,2.559787,79.604179
242,90.157794,60.831949,12.695612,202.045255,2.619433,79.529482
243,91.032455,60.474727,11.955511,209.216052,1.959175,75.503047
244,90.814555,60.537076,12.27447,217.665576,1.904245,73.701695
246,90.199312,58.792219,12.190886,209.933645,2.124247,75.354801
247,91.14268,59.667659,12.461929,201.642922,1.569784,70.946885
249,90.170695,61.878021,13.187524,205.150341,2.119379,77.356418
250,90.572454,60.694785,13.110499,214.795448,2.176266,72.830122
251,90.918679,60.549995,13.178285,215.797112,2.463757,78.206517
252,90.333197,59.563723,13.11686,202.289665,2.607058,80.280574
254,90.055742,63.510102,13.501555,203.610026,0.705909,74.101113
255,89.937165,59.448836,12.701624,209.086507,2.061391,77.542307
256,91.075758,60.839183,13.351405,210.312547,1.346974,73.818177
257,91.093771,60.75393,12.546094,207.565936,0.83484,80.045339
259,91.122523,61.305146,12.848912,204.192573,1.936931,72.95289
260,90.973806,60.839524,12.10589,224.039293,1.750863,73.971593
261,89.951225,60.450918,13.544494,199.2396,2.373588,76.480627
262,91.742094,58.869245,12.209317,220.05628,1.614489,69.038513
263,91.23566,59.833102,13.152823,220.539332,1.269812,76.272195
264,91.336717,61.806348,12.708188,206.681033,1.900483,75.940403
265,90.899066,60.679693,13.184883,219.331459,1.416379,69.971185
266,91.518192,58.272429,12.378604,199.369605,2.19112,75.021048
267,89.944321,63.35619,13.818729,228.145867,1.320519,69.616135
268,90.664768,60.859228,12.957427,197.239767,2.812718,78.359586
269,91.144434,60.507317,12.403485,214.999597,0.915405,74.633911
270,90.992181,60.485463,12.255315,203.668646,2.544197,77.839629
271,91.072801,60.12914,12.784391,217.049833,1.920325,76.038053
272,91.132219,60.956287,12.265797,204.752971,1.690795,78.293055
273,91.230769,60.600943,13.235625,208.220101,2.259154,78.131816
274,90.219918,60.884416,12.331666,210.531087,1.459928,72.267903
275,90.740546,59.405671,12.3198,202.049442,1.819118,77.607052
276,90.940095,60.527564,13.0763,215.310172,1.674931,74.656773
277,90.987856,58.871221,11.702481,216.183652,2.135347,75.401693
278,91.149123,59.88115,12.660386,221.833313,2.945735,77.756172
280,90.592359,61.170146,12.851411,210.739769,2.573015,73.758851
281,90.708562,59.740569,12.918091,209.201572,2.477315,75.224788
282,91.448776,58.589647,12.190703,213.608329,2.050231,76.196662
283,90.435417,60.796791,12.759522,208.387968,2.171446,74.135936
284,91.326228,60.311814,13.210537,208.890942,1.892352,76.024024
286,90.573832,59.103466,12.102093,207.991853,1.579428,71.082823
287,91.206889,60.212832,12.440934,207.853948,1.953666,76.195823
288,89.879325,61.196709,13.140611,208.705805,1.208698,79.164296
289,90.714701,60.645198,12.782466,195.168038,2.234907,75.709631
290,90.215459,59.910501,12.003931,202.757727,2.086414,79.034601
291,89.503937,59.355399,11.696535,219.849551,2.275582,74.75996
293,90.549493,60.445097,12.702091,213.652712,1.639412,75.642085
294,91.686622,58.084367,12.17116,223.439934,1.784902,79.776405
295,90.707857,60.560219,12.877071,211.353353,1.696734,76.568459
296,90.996725,60.503107,12.656897,217.651135,2.14536,77.926586
298,90.956559,60.369441,12.927579,211.628093,1.294266,70.95218
299,90.987967,60.978382,12.957681,200.639329,2.144761,79.037733
300,92.08613,61.591707,12.015443,210.715069,1.751112,75.971114
301,90.838747,60.825352,12.790882,208.461746,0.935201,74.751625
302,91.101181,60.057979,12.565586,212.148665,2.261049,75.164165
303,90.061042,59.570672,12.173153,206.337404,2.155869,78.898969
304,91.763951,59.516279,11.988946,211.440012,1.47781,74.53285
305,90.171227,60.662765,12.815468,219.49836,2.464907,74.903388
306,90.156127,60.080414,12.775894,214.150565,1.783582,76.357783
307,90.344083,61.472622,12.297167,208.536428,2.225965,75.207587
308,91.497925,59.707685,12.511282,213.271074,2.084613,75.064861
309,90.95759,61.574244,13.201492,207.11548,1.080431,69.030536
310,90.168135,61.310627,13.052324,209.760414,2.127643,78.484687
311,91.066823,59.544789,11.526239,212.80574,2.815024,79.858229
312,89.911728,59.350444,12.231669,217.329447,2.096443,71.550549
314,90.930767,60.56624,12.867579,209.50375,1.497351,72.134225
315,90.618348,60.961927,13.416827,202.283646,1.940163,82.647608
316,91.293577,60.934835,12.799464,200.078606,1.046302,68.474925
317,90.253991,59.994626,12.941101,213.91114,2.109644,81.75354
318,90.586003,59.954544,12.597882,210.589112,2.247234,68.883506
319,90.93678,58.8465,11.740059,200.75194,1.574601,75.555378
320,90.764876,60.631024,12.718995,206.606611,1.82365,72.825467
321,90.064044,60.297809,12.298405,212.065979,2.182049,73.544754
322,90.656625,59.775299,12.285616,215.234121,2.111227,71.761155
323,90.714703,58.955854,11.639706,222.138392,1.547398,73.096954
324,90.122708,59.956806,12.39977,208.798689,1.742723,81.145038
325,90.671047,60.974733,13.410707,227.179392,1.520097,77.050505
326,91.087073,60.256779,12.250575,217.689993,2.580836,76.809954
327,91.477635,60.355971,12.358346,210.210863,2.289093,76.969156
328,90.676333,59.659071,12.527511,204.388582,2.745845,76.002996
329,89.991068,60.681541,13.58924,228.470781,1.400638,68.740356
332,91.63041,59.798516,12.75845,205.164578,1.684366,81.880152
333,89.827662,59.863906,12.576347,200.446369,1.717278,71.744537
334,91.26911,61.806043,13.344685,215.091575,1.288442,70.294911
335,90.267281,60.848022,12.899504,217.550747,2.440863,71.159304
336,90.246215,59.877469,12.476794,204.962174,2.19415,73.305668
337,91.304849,60.885886,12.974742,205.817078,1.895672,68.239273
338,90.837482,59.346986,12.879327,198.166322,2.352654,70.142224
339,89.932698,62.026034,12.855733,206.888481,1.932256,74.979689
340,90.858382,60.983117,12.910773,208.018863,2.23203,78.067593
342,91.013929,62.066499,13.545254,214.763581,1.191441,68.074802
343,90.495564,59.42503,12.743246,216.206721,2.453045,74.003497
344,91.154763,59.885335,12.237786,217.704679,2.17244,76.743368
345,90.965498,61.093378,12.354592,212.678106,1.788562,73.916601
346,90.803455,62.667201,13.292691,206.341263,1.681382,74.343079
347,91.054978,60.54137,12.234721,218.184117,1.094223,72.835464
348,91.280567,59.435656,13.096517,208.13272,1.472259,73.307441
349,90.274692,60.397525,12.79658,215.387422,1.332985,68.148718
350,90.601974,61.115095,12.826915,219.079894,2.647703,74.902917
351,90.493455,60.420759,13.425196,205.155603,2.045757,70.245938
352,91.23661,59.648022,12.881161,223.153034,1.933824,78.871346
