Offspring,OM,IVD,CP,LDM,RC,PLB
469,91.497422,60.125825,12.408458,206.223612,1.736178,70.656997
470,91.422567,59.138626,11.982201,226.451279,2.132591,76.431258
471,90.377866,60.148353,12.659315,206.564617,1.728244,69.01279
473,91.481681,61.220264,12.481215,215.33382,1.412098,76.845116
474,90.858091,59.851308,12.978962,213.311912,1.605417,79.223997
475,91.023721,60.426389,12.383172,204.793164,1.697707,73.8769
476,90.862069,60.750115,12.355862,216.578848,1.456409,72.75109
478,90.872177,60.256656,12.92005,201.300899,1.259818,72.715532
479,91.102761,61.412931,13.106764,211.718595,2.108785,76.165301
480,90.675742,58.483052,12.220646,202.874727,1.998108,77.709765
481,90.726813,59.508301,12.112819,214.707283,1.596,70.337332
482,90.987644,60.190165,12.421874,207.351933,1.903902,77.608975
483,90.38746,60.989586,13.487816,210.736743,2.055152,77.268856
484,91.737695,60.010322,12.397708,206.674265,1.221624,76.555019
485,90.466628,61.365525,12.865412,204.682162,2.338915,77.169595
486,90.6623,58.865057,12.590904,216.093626,1.970777,75.064289
487,91.139486,58.138415,12.123767,210.105648,1.384386,76.301662
488,90.565485,60.450704,12.252428,201.712375,2.305717,79.879956
489,91.2919,58.601342,11.627992,210.138877,2.26028,77.498758
490,90.873771,62.271983,13.173593,204.226776,1.373051,72.995421
491,90.367471,60.64686,12.31558,206.377154,1.89072,74.495224
492,90.981905,58.649057,12.083588,206.145983,2.304824,67.511656
494,90.854431,60.133034,11.799571,207.605248,2.542779,72.807808
495,91.741211,60.295211,12.453567,210.925916,1.472594,73.725757
496,90.66485,60.58285,12.769665,212.06904,2.235621,74.438675
497,90.914614,59.974787,12.61514,227.671079,2.381027,75.496984
498,89.826988,58.885516,13.196431,208.491281,1.81016,73.244745
499,91.314317,58.893836,11.905496,206.506953,1.460832,70.149008
500,91.391036,61.248697,12.845377,205.763073,2.332402,78.490355
501,90.570952,61.294693,12.795843,203.332622,1.53018,74.684924
502,90.573625,61.531153,13.103982,210.274495,1.393318,73.58426
503,91.095066,59.221893,12.442238,209.036912,1.479375,68.087454
504,91.48285,60.188934,11.793326,207.514316,1.855363,80.877416
505,90.000029,59.847018,12.809788,210.483346,2.07791,76.240529
506,90.972896,60.623961,12.180028,206.03146,1.573829,70.434739
507,91.27845,58.131098,12.047684,216.445358,2.721843,76.977283
508,90.280203,59.511619,12.960876,216.724403,1.768872,71.456194
509,91.903946,60.048905,12.61385,213.070836,1.211366,65.318245
510,90.884009,62.51666,13.455143,203.243348,1.189626,71.152642
511,90.645422,60.378476,12.520519,214.062573,1.823983,74.999597
512,90.86538,59.151907,12.366094,212.492083,1.999159,74.706199
513,90.635863,61.640453,13.689456,206.259409,1.165917,76.09307
514,90.635755,60.613783,12.94448,208.195533,2.012605,76.356923
515,89.837039,61.151184,12.595185,214.310743,2.260047,78.477078
516,91.16939,58.987532,11.93307,215.708441,2.237376,74.577808
517,90.599726,60.188909,12.295639,224.158727,2.357072,76.393417
518,89.851371,60.540125,13.431751,218.494858,2.059486,73.258966
519,89.882549,59.60712,12.817436,206.482077,1.655213,71.081922
520,89.867493,59.852545,12.59791,199.049416,1.873869,73.085752
521,90.34821,59.674848,12.787341,208.827708,2.181819,73.964339
522,90.55698,60.498587,12.308177,212.406008,1.26693,68.525172
523,90.355236,60.941616,12.096338,209.806608,2.712915,73.861281
524,90.678957,57.561385,12.030809,217.379018,2.044727,78.9626
525,90.711758,62.093063,12.963735,207.406879,1.71549,75.217214
526,90.456871,61.28936,13.593901,200.130133,1.671923,72.488362
527,90.02255,63.854715,13.39118,206.584772,0.970756,75.244309
528,90.252919,59.977217,12.663342,222.198819,2.421098,72.460187
529,90.58956,58.258989,11.868344,218.430341,1.827235,69.330676
530,90.3394,58.895884,13.094685,207.230291,1.631017,74.975507
531,91.113876,61.948746,13.158643,201.569408,2.575503,77.095426
532,90.399486,58.364093,12.335154,211.066777,1.407491,71.681495
533,90.479732,60.030249,12.911161,215.242692,2.392812,74.325799
534,90.694474,60.808166,13.521605,216.443844,2.694729,75.252378
535,90.567472,58.662165,12.558897,219.18712,1.760959,75.04125
536,90.489737,62.087825,13.774652,203.068513,2.204176,77.436752
537,90.661292,59.725145,13.033947,216.135727,1.366264,70.101155
538,90.666177,59.535104,12.817236,205.952094,3.090058,78.627138
539,90.136793,59.509277,12.744088,206.987987,2.120172,75.602127
540,90.814342,59.199712,11.706261,214.351653,1.956303,76.060751
541,90.668015,61.459636,12.549872,201.930591,2.144027,76.69213
542,90.99998,60.050553,12.819038,219.784744,2.862242,81.160583
544,90.70753,59.9276,12.856819,236.477395,2.318138,71.281911
545,91.500938,61.211922,12.432577,210.730417,2.517217,77.142356
546,90.898392,60.084567,12.417669,201.979022,2.426705,77.582555
547,90.601573,60.243734,12.54123,223.058282,1.614017,65.66742
548,90.562013,60.0337,12.714169,212.128513,1.63137,73.671301
549,90.975833,62.566766,13.882711,202.835946,1.883038,73.864414
550,91.516365,59.773727,12.462193,229.573274,1.501488,74.379618
551,90.637646,61.345208,12.967912,205.868958,2.024884,76.373582
552,90.723689,60.924014,12.776799,208.285383,2.266831,73.567783
553,91.227905,61.186338,13.616593,209.504199,1.430885,75.34553
554,90.882105,59.069807,12.190268,209.094599,2.36471,74.766088
555,91.274596,61.444847,13.139867,209.841658,1.683741,75.377173
556,90.322545,61.122328,12.174064,212.262102,2.527147,73.616025
557,90.587565,60.598991,12.509788,217.328013,2.341258,74.623328
558,90.756703,59.114093,12.642597,200.893939,2.0455,72.547147
560,90.649007,58.535553,12.782302,232.214743,1.753185,70.076285
561,89.969097,60.246673,12.456063,207.187672,2.30525,78.542098
562,91.498572,59.968188,12.760081,204.928056,2.002162,76.637259
563,90.847732,60.000477,12.809692,216.55201,2.220056,71.180803
565,90.518092,60.814766,12.059151,205.75257,3.126832,75.648427
566,90.537712,60.321821,12.414107,208.488058,2.436935,78.012009
567,90.442811,60.935498,12.560766,202.467945,2.599764,74.234739
568,90.864008,60.146739,12.545171,211.113075,2.43111,76.520737
569,91.136431,59.24574,12.324485,221.561767,1.992313,74.551065
570,90.98479,60.739123,12.510697,221.746861,2.152813,76.993769
