genotype predicted.value std.error
1 90.83048114309386 0.39107861555273105
2 90.99492506355634 0.4204437692355838
3 90.64008064709769 0.39107861555273105
4 90.87367620820916 0.39107861555273105
5 91.32490619001749 0.39107861555273105
6 91.01206644256307 0.39122509675153916
7 91.60677933669992 0.4298066309784266
8 91.03499265643093 0.39122509675153916
9 90.87943889703713 0.39122509675153916
10 89.6759555015043 0.39122509675153916
11 91.39423884285391 0.3909430094725968
12 90.16637221051059 0.3909430094725968
13 91.0305322297059 0.3909430094725968
14 90.49827796857117 0.3909430094725968
15 91.01705628527417 0.3909430094725969
16 90.675699834678 0.3910639693658906
17 90.71029552539311 0.4204270879329344
18 91.90598631908266 0.3910639693658906
19 90.44896530458688 0.3910639693658906
20 90.18083049295603 0.3910639693658906
21 90.79880174730661 0.3909435887406777
22 90.8241756819589 0.39094358874067764
23 90.96644636953798 0.39094358874067764
24 90.93052356698117 0.39094358874067764
25 90.76898040740447 0.39094358874067764
26 90.79203054949161 0.3910672781972401
27 91.49232394406303 0.4204325092330852
28 91.13738030361914 0.3910672781972401
29 90.45311256651149 0.3910672781972401
30 90.55417712240649 0.40387492285877485
31 90.7334439213734 0.3909416790480136
32 90.36549940813472 0.3909416790480136
33 90.56066402144964 0.3909416790480136
34 90.95486331362218 0.3909416790480136
35 90.32972521362528 0.3909416790480136
36 91.13714289852955 0.42091785016566946
37 90.81120153508785 0.39147331384155615
38 91.17706536192996 0.4826389282364918
39 90.26905119249737 0.39147331384155615
40 90.38001145430286 0.39147331384155615
41 90.75026658611075 0.39106526316358164
42 91.3724502636946 0.42043238794503585
43 90.36791863772453 0.39106526316358164
44 90.37187508646818 0.39106526316358164
45 91.34351726052422 0.40387210826882036
46 91.10944745938043 0.39094119215964357
47 90.05491310656105 0.39094119215964357
48 90.33410866727672 0.39094119215964357
49 90.86150496126511 0.39094119215964357
50 91.22126907179347 0.39094119215964357
51 91.3414692583464 0.39094012684623325
52 90.9752379518674 0.39094012684623325
53 90.57995306360245 0.39094012684623325
54 91.51646703972423 0.39094012684623325
55 91.35718342087391 0.39094012684623325
56 90.77891479645785 0.3910549708184293
57 90.79048232885452 0.3910549708184293
58 90.62565495672888 0.3910549708184293
59 91.3054096771065 0.4204049514669366
60 90.837960607595 0.3910549708184293
61 90.25116183368863 0.3910636989955214
62 90.45490600863707 0.42042770780605476
63 90.92722084046123 0.3910636989955214
64 90.50781703155566 0.3910636989955214
65 91.40130218035549 0.3910636989955214
66 91.53301171215104 0.3909423536981164
67 91.50873718253294 0.3909423536981164
68 90.20131072014759 0.3909423536981164
69 90.92401691444886 0.3909423536981164
70 90.33150392647983 0.3909423536981164
71 90.5259471587874 0.39094303853717965
72 90.51271127079653 0.3909430385371796
73 90.94747989101015 0.3909430385371796
74 91.32001643342201 0.3909430385371796
75 89.79800868012516 0.3909430385371796
76 90.76988081236708 0.3910632676413784
77 90.03815049737268 0.3910632676413784
78 90.8336405766047 0.3910632676413784
79 90.3395500095236 0.4204308152931824
80 90.93767116962071 0.3910632676413784
81 90.98321419537997 0.3909427577268927
82 90.49088610862775 0.3909427577268927
83 91.46570185928346 0.3909427577268927
84 89.91081142088214 0.3909427577268927
85 90.98016514652396 0.3909427577268927
86 90.64098332030339 0.39094261188979584
87 91.20080535903995 0.39094261188979584
88 91.60274022385444 0.39094261188979584
89 90.2545888042767 0.39094261188979584
90 92.05464441834046 0.39094261188979584
91 92.04309450086063 0.3909405274979615
92 90.91072615397523 0.3909405274979615
93 90.48323182028577 0.3909405274979615
94 90.44618138436414 0.3909405274979615
95 90.68023904505269 0.3909405274979615
96 90.27641415721466 0.3910645684951791
97 91.07845275297566 0.3910645684951791
98 90.97970858958462 0.3910645684951791
99 90.9275249331027 0.3910645684951791
100 90.61551680670621 0.4204305700886901
101 90.87701850261085 0.39094313365906885
102 90.86229366661132 0.39094313365906885
103 91.20209897896682 0.39094313365906885
104 90.43066572168118 0.39094313365906885
105 90.97997787677205 0.39094313365906885
106 91.40187605024973 0.4298066426770281
107 90.45834599458567 0.3912255980152686
108 92.10111749353494 0.3912255980152686
109 90.69500413141449 0.3912255980152686
110 90.19052858997739 0.3912255980152686
111 90.60118053298999 0.39122629686679444
112 90.38946631399344 0.39122629686679444
113 91.06303890858281 0.39122629686679444
114 91.55135380863118 0.42980640773413925
115 90.76915259126798 0.39122629686679444
116 90.6253433278644 0.39094354431933603
117 91.79841548878285 0.3909435443193361
118 90.77921433800444 0.39094354431933603
119 90.2236742747999 0.39094354431933603
120 91.11254411904805 0.39094354431933603
121 90.05328424899118 0.39106529911985155
122 90.7631574774338 0.39106529911985155
123 91.34716827144123 0.39106529911985155
124 91.87163488198804 0.4204279995415599
125 90.6858166622824 0.39106529911985155
126 90.70907449943418 0.3909443584274527
127 89.66047641258989 0.3909443584274527
128 91.36667754924503 0.3909443584274527
129 90.81859826822166 0.40370992106298437
130 91.18279717587349 0.3909443584274527
131 91.173122672525 0.3913374796972322
132 90.94103530497719 0.3913374796972322
133 90.49547709722631 0.4300154613491683
134 90.96207649873242 0.3913374796972322
135 90.6573056244146 0.42081282406203124
136 91.54939920642633 0.3910643522973475
137 90.34055743881925 0.3910643522973475
138 91.12342547655827 0.4204286249540655
139 90.67252142021783 0.3910643522973475
140 91.55713779672585 0.3910643522973475
