Order	Mother	Offspring	OM	CP	IVD	LDM	RC	PLB
261	10	278	91.19	12.6467	59.8725	321.6037	2.9692	75.6569
262	10	280	90.606	12.8082	61.1603	290.9214	2.4937	77.0184
263	13	281	90.7326	12.8593	59.7352	250.2789	2.3469	76.5043
264	13	282	91.3665	12.1551	58.583	242.657	2.0432	74.7732
265	13	283	90.4144	12.7091	60.7786	210.5578	2.2131	76.4126
266	13	284	91.1809	13.1911	60.3267	152.3436	1.9317	74.578
267	16	286	90.5137	12.1051	59.0814	220.8062	1.6355	72.3303
268	16	287	91.2788	12.4607	60.235	164.475	1.9969	74.7962
269	16	288	89.7078	13.1582	61.2284	91.4827	1.2006	76.6489
270	16	289	90.7334	12.8032	60.6687	215.6168	2.4269	74.9463
271	16	290	90.2272	12.0744	59.9316	169.7036	2.193	79.1275
272	11	291	89.5091	11.7108	59.3605	304.0078	2.4329	77.8499
273	11	293	90.372	12.6935	60.45	188.2229	1.5987	74.3659
274	11	294	91.701	12.1659	58.0911	243.7003	2.1304	74.9897
275	11	295	90.708	12.8497	60.5696	127.2393	1.6624	74.9136
276	5	296	91.0125	12.6594	60.4935	286.6492	2.3312	76.8973
277	5	298	91.0903	12.9141	60.3894	173.6181	1.2781	72.7421
278	5	299	91.0246	12.9529	60.9686	209.2661	1.9941	77.7372
279	5	300	92.0856	12.034	61.5929	136.8616	1.5794	74.2839
280	7	301	90.7989	12.8166	60.8195	85.2629	0.7792	76.0754
281	7	302	91.0814	12.5959	60.0557	263.1152	2.4598	74.9984
282	7	303	90.0536	12.2134	59.5853	252.4578	1.968	75.631
283	7	304	91.7729	12.0308	59.513	178.0748	1.3499	74.8542
284	7	305	90.334	12.8515	60.6654	314.9379	2.5414	75.6149
285	14	306	90.2275	12.7255	60.0818	153.7875	1.8075	76.1681
286	14	307	90.3045	12.2534	61.4651	242.7103	2.1998	74.2281
287	14	308	91.6254	12.458	59.7113	215.9094	2.1162	74.7595
288	14	309	90.932	13.1784	61.6038	152.2659	1.2025	72.4461
289	14	310	90.2531	13.007	61.3224	245.3003	2.0605	78.1198
290	3	311	90.9701	11.5576	59.5348	260.2847	2.662	76.8097
291	3	312	89.9332	12.2504	59.3587	282.3629	2.0767	74.4278
292	3	314	90.9185	12.8833	60.5909	118.8675	1.4236	74.9972
293	3	315	90.5659	13.4375	60.9662	179.3751	1.9167	76.7388
294	10	316	91.2822	12.7721	60.9398	127.9171	1.034	70.7752
295	10	317	90.2402	12.8989	59.9846	164.308	1.9696	78.4577
296	10	318	90.6415	12.5854	59.9512	247.6678	2.3873	70.5479
297	10	319	90.9082	11.685	58.8379	205.8898	1.5875	73.9238
298	10	320	90.7967	12.7026	60.64	142.7632	1.7001	72.539
299	15	321	90.1705	12.3572	60.3098	270.6053	2.3759	73.0141
300	15	322	90.6213	12.332	59.7826	182.8553	1.8915	73.616
301	15	323	90.7652	11.6866	58.9719	224.6637	1.715	74.2287
302	15	324	90.1129	12.4261	59.9587	159.04	1.664	78.9372
303	15	325	90.7244	13.4289	60.9713	250.583	1.2766	76.8157
304	8	326	91.1431	12.2337	60.2514	311.0196	2.7187	77.7918
305	8	327	91.4591	12.3646	60.3647	209.8039	2.2293	74.9486
306	8	328	90.6477	12.5036	59.6621	236.7548	2.9791	74.6849
307	8	329	89.925	13.5556	60.6847	305.8825	1.3341	74.9739
308	2	332	91.6183	12.7172	59.8253	80.6768	1.7653	76.7702
309	2	333	89.9166	12.5409	59.8868	260.1904	1.9931	75.2969
310	2	334	91.2161	13.2982	61.8291	132.9435	1.0732	72.2814
311	2	335	90.3228	12.8531	60.8582	301.0643	2.1973	73.1674
312	4	336	90.2985	12.483	59.8991	254.4232	2.5147	72.8027
313	4	337	91.3512	12.9444	60.8872	268.7223	1.9553	72.2227
314	4	338	90.7855	12.8427	59.3229	249.0972	2.3193	71.7725
315	4	339	89.9718	12.8413	62.0126	183.7098	2.1187	74.2187
316	4	340	90.8074	12.9104	60.9919	205.3072	2.3036	75.8109
317	1	342	90.9638	13.4926	62.0728	130.6881	1.2782	72.1985
318	1	343	90.5046	12.7377	59.4405	210.7672	2.4803	73.4664
319	1	344	91.1776	12.2173	59.8877	218.5026	2.5728	77.5436
320	1	345	90.9926	12.3572	61.0964	159.5708	1.6153	72.3714
321	19	346	90.9166	13.3276	62.6838	101.7151	1.6248	75.8653
322	19	347	91.1788	12.2771	60.5698	182.1374	1.1503	73.8595
323	19	348	91.2347	13.1171	59.4673	207.489	1.4883	71.9895
324	19	349	90.2734	12.8211	60.4135	199.3847	1.3209	71.4523
325	19	350	90.6083	12.8522	61.1414	312.913	2.7512	75.5364
326	18	351	90.4679	13.4455	60.4424	228.3776	2.2618	74.5851
327	18	352	91.2505	12.8464	59.6365	238.8465	1.817	76.5336
328	18	353	89.9911	13.0391	59.7438	188.6739	1.9851	75.7714
329	18	354	90.7238	12.2074	59.2565	187.1419	2.3143	72.7107
330	18	355	89.7255	11.9859	59.9833	347.311	2.6449	76.8728
331	13	356	90.7929	12.8199	60.6231	170.721	1.8723	72.657
332	13	357	90.0606	12.8611	61.3383	218.2931	2.4003	71.6519
333	13	358	90.942	13.0028	59.7307	182.453	1.4074	75.7222
334	13	359	91.5	12.7965	60.521	141.6304	1.7547	74.8259
335	6	361	90.6488	12.3336	58.8035	362.778	2.3609	76.3714
336	6	362	90.092	12.4171	60.2801	246.1994	2.0294	74.918
337	6	363	91.2567	12.4975	60.4038	280.3712	2.2917	76.6673
338	6	365	90.1712	12.3979	59.4814	226.7014	1.7866	74.8421
339	9	366	90.212	12.509	60.0787	136.5454	1.5845	72.4362
340	9	368	90.424	12.5417	61.7453	199.0516	1.5681	75.1342
341	9	369	90.7923	12.6772	59.1447	157.6157	1.3906	67.5237
342	9	370	90.6919	13.5671	60.3486	300.8108	2.8758	75.9374
343	12	371	90.168	12.4682	59.9541	278.6696	2.5324	76.5143
344	12	372	90.7455	11.9818	59.358	282.688	2.2518	78.1193
345	12	373	91.5657	11.9554	58.0671	242.3251	1.6849	74.7395
346	12	374	90.8303	13.5242	60.0057	233.9487	1.8796	75.6856
347	12	375	91.1623	13.0345	60.1238	100.4202	1.1728	75.2292
348	17	376	90.6274	12.8661	58.9725	190.7262	1.6207	75.659
349	17	377	91.5318	12.4106	59.9241	129.9566	1.5248	74.7334
350	17	378	90.8331	11.9689	59.4478	247.2675	1.9219	76.2365
351	17	379	90.9493	13.2988	61.1518	241.435	1.6922	74.8481
352	11	381	90.2926	12.7555	58.6983	243.0722	2.1663	73.1327
353	11	382	90.0698	12.8489	60.3266	187.3088	1.9149	75.2744
354	11	383	90.9211	12.809	60.714	218.7321	1.7172	76.4851
355	11	384	90.0194	12.8484	59.6624	275.0376	2.1833	78.4682
356	11	385	91.4761	12.513	61.7479	86.9942	1.7866	74.3572
357	14	386	91.2862	12.9906	60.1673	144.4684	1.3249	70.5735
358	14	387	90.4119	12.6525	59.0042	189.1446	2.0191	74.8456
359	14	388	90.8845	13.2404	60.1822	173.937	1.4095	74.204
360	14	389	90.9492	12.4735	61.0641	111.8164	1.6868	74.121
361	14	390	90.2001	12.485	61.3476	351.5188	2.553	75.3054
362	2	391	90.5845	12.4276	60.1036	240.915	1.7536	73.8944
363	2	392	90.9894	12.8717	59.8124	232.3367	2.0955	73.9568
364	2	393	91.3509	12.4868	60.8638	186.2607	1.7955	76.1346
365	2	394	91.071	12.5981	59.1732	214.2079	2.1174	77.6555
366	9	396	90.5973	12.6191	59.4999	214.8651	2.0154	75.5238
367	9	397	91.0699	12.1833	60.1034	251.6587	2.0621	76.0091
368	9	398	90.7578	12.6157	59.9974	203.7774	2.39	74.0352
369	9	399	91.5395	12.8322	60.8237	101.6737	0.7711	71.385
370	9	400	90.9837	12.7199	59.3948	169.1077	1.7857	74.3209
371	7	401	90.5425	12.8911	60.5154	178.1455	1.3733	73.508
372	7	402	90.7275	12.1622	59.4312	241.0726	2.7342	76.0962
373	7	404	90.8455	11.9452	59.8872	228.5684	1.7348	76.1443
374	7	405	90.467	12.7136	60.1965	163.4984	2.2912	74.0895
375	8	406	90.8238	11.9254	60.2344	130.6175	1.3977	74.2811
376	8	407	90.3031	12.9562	60.7731	205.4718	2.3492	76.2636
377	8	408	91.17	12.5452	60.0802	147.7742	2.1337	73.3724
378	8	409	90.8477	12.3825	60.0084	190.9902	1.4776	76.5123
379	8	410	90.7155	12.8111	59.7319	188.1379	1.5667	75.9769
380	18	411	90.6884	12.256	60.9078	212.319	1.867	73.7628
381	18	412	90.924	12.3363	58.9623	175.8894	1.7365	75.152
382	18	413	91.3706	12.5496	62.1805	114.5551	1.1299	73.9527
383	18	414	91.1574	12.9643	59.5355	207.1215	2.0378	73.0013
384	18	415	90.2183	12.6399	59.918	137.2122	1.8783	78.6394
385	5	416	91.2088	12.5403	61.1714	176.918	2.3486	73.0729
386	5	417	91.058	12.4818	59.9182	198.309	2.1	78.265
387	5	418	91.4835	12.5921	60.265	265.4681	1.4377	74.7961
388	5	419	90.6235	12.8983	59.7277	175.2584	1.578	72.9205
389	5	420	91.0611	12.7236	59.8402	182.0999	1.678	73.1826
390	16	421	90.1577	12.41	59.9147	219.751	2.4711	74.622
391	16	422	91.2121	12.2569	60.4412	169.8018	0.9859	69.0243
392	16	424	91.0728	13.2988	60.2656	93.6815	1.1024	73.8291
393	16	425	90.6415	12.3628	59.5161	223.1834	1.9857	78.9325
394	19	426	90.7204	12.8119	58.8776	191.4804	2.3135	77.0025
395	19	427	90.759	12.6649	59.7563	182.9977	1.3773	71.585
396	19	428	90.0864	12.7997	61.5652	132.2746	1.2875	76.4744
397	19	429	90.6629	12.3559	58.628	200.3282	2.156	76.024
398	19	430	90.308	12.0701	60.9921	223.0971	2.1411	76.1078
399	15	431	89.9507	12.9686	60.1981	254.5361	1.9375	72.6646
400	15	432	91.1077	11.4305	59.6986	170.2042	1.9662	74.4763
401	15	434	90.772	12.8042	59.6542	217.8752	2.0507	75.932
402	15	435	90.7991	12.3811	59.8875	288.7842	2.6906	78.664
403	17	436	90.5863	12.8269	60.1923	275.3524	2.1622	76.2646
404	17	437	90.6995	12.3268	59.1688	235.9182	2.6004	76.9348
405	17	438	91.4667	12.3288	57.9152	205.7366	2.5273	77.1968
406	17	439	90.62	13.2671	61.0111	247.6633	1.759	75.1913
407	17	440	90.735	13.1925	61.8816	174.0792	1.5989	72.4576
408	10	441	90.8	13.49	61.2815	251.39	2.0891	72.3384
409	10	442	90.5174	12.6443	60.5465	142.9975	1.2937	72.3742
410	10	443	91.6974	12.8374	60.4832	194.5811	2.0164	76.334
411	10	444	90.8609	12.363	59.5365	236.543	2.4413	74.4281
412	10	445	90.2816	12.5968	59.9031	260.3219	1.8858	73.7315
413	6	446	90.6178	12.6029	61.1827	254.5975	1.8097	72.6464
414	6	447	90.648	12.5233	60.7827	267.1359	1.9007	73.942
415	6	448	91.1222	12.1625	59.8007	178.5136	1.4556	73.6138
416	6	449	90.4393	12.5915	59.2816	362.3396	2.6099	78.1782
417	6	450	91.5578	12.9025	60.1058	273.1133	2.3587	76.6496
418	4	451	90.8043	13.3485	61.3533	345.1066	2.6694	77.7968
419	4	452	90.9849	12.2736	59.5803	221.9495	1.8835	72.6767
420	4	453	90.6626	12.3681	61.0264	259.5514	1.8194	76.0184
421	4	454	90.3569	12.2672	58.6085	253.0284	1.7897	72.4901
422	4	455	91.1181	13.4657	62.5433	131.2404	1.5811	73.5106
423	13	456	91.2357	12.5939	60.1738	219.8094	1.473	74.7917
424	13	457	89.7094	13.147	59.1655	326.691	2.3487	76.3035
425	13	458	90.3804	12.6602	61.5176	203.0052	2.0652	72.4886
426	13	459	90.791	12.4315	59.9249	263.2503	1.6112	76.4729
427	13	460	91.4947	12.8001	60.1579	237.6839	1.5543	75.6456
428	12	461	90.9981	12.7897	60.3083	259.1861	2.4569	77.6389
429	12	463	90.782	12.3561	59.6191	286.3399	2.2748	79.4199
430	12	464	90.9782	12.692	59.4633	229.573	2.3054	75.2375
431	12	465	90.8694	12.2943	59.4466	224.1275	1.9505	71.4744
432	3	466	90.9475	12.4078	60.3102	289.5738	2.1449	76.9037
433	3	467	90.8735	12.8942	60.8234	246.4633	1.5805	76.6703
434	3	468	90.9303	13.3289	60.3908	183.7228	2.1375	75.2955
435	3	469	91.4797	12.4279	60.1421	215.1667	1.7422	70.8236
436	3	470	91.4106	12.007	59.1526	322.4394	2.1839	75.8454
437	1	471	90.3151	12.6627	60.1389	140.1225	1.5593	71.305
438	1	473	91.4891	12.4537	61.2224	183.7073	1.4825	77.5755
439	1	474	90.8441	12.9353	59.8551	175.7042	1.6497	76.6864
440	1	475	91.0224	12.3702	60.4277	216.0061	1.7899	76.1266
441	16	476	90.8546	12.367	60.7274	256.8686	1.3358	72.2358
442	16	478	90.8377	12.9465	60.2666	171.4131	1.3652	75.4395
443	16	479	91.2157	13.1319	61.4325	189.707	2.0905	73.2224
